source_id,first_name,last_name,institution
127,Mark,White,
102,Ralph,Linsker,
98,James,Hendler,
185,Alex,Waibel,
106,Mark,Gluck,
106,M.,Pavel,
106,Van,Henkle,
149,Manoel,Tenorio,
149,Wei-Tsih,Lee,
94,David,Parker,
94,Mark,Gluck,
94,Eric,Reifsnider,
173,Kenneth,Goldberg,
173,Barak,Pearlmutter,
100,Patric,Stanton,
100,Terrence,Sejnowski,
164,Trent,Lange,
164,Michael,Dyer,
181,Patrice,Simard,
181,Mary,Ottaway,
181,Dana,Ballard,
236,Sheri,Gish,
236,W.,Blanz,
245,John,Platt,
195,John,Bridle,
252,William,Softky,
252,Daniel,Kammen,
221,Jack,Cowan,
221,A.,Friedman,
269,David,Rogers,
249,Shawn,Lockery,
249,Yan,Fang,
249,Terrence,Sejnowski,
196,Maurice,Lee,
196,James,Bower,
208,David,Ackley,
208,Michael,Littman,
191,O.,Farotimi,
191,Amir,Dembo,
191,Thomas,Kailath,
285,Daniel,Kammen,
285,Christof,Koch,
285,Philip,Holmes,
198,Jack,Cowan,
283,Michael,Carter,
283,Franklin,Rudolph,
283,Adam,Nucci,
223,G.,Kenyon,
223,Eberhard,Fetz,
223,R.,Puff,
224,James,Simmons,
212,Fernando,Pineda,
286,Jakub,Wejchert,
286,Gerald,Tesauro,
292,Michael,Mozer,
292,Jonathan,Bachrach,
251,Michael,Hormel,
277,Amir,Dembo,
277,Kai-Yeung,Siu,
277,Thomas,Kailath,
204,Jim,Donnett,
204,Tim,Smithers,
234,Kevin,Lang,
234,Geoffrey,Hinton,
240,Daphna,Weinshall,
240,Shimon,Edelman,
240,Heinrich,Bülthoff,
200,Bill,Baird,
262,Jacob,Barhen,
262,Nikzad,Toomarian,
262,Sandeep,Gulati,
246,Matthew,Wilson,
246,James,Bower,
270,Davi,Geiger,
270,Federico,Girosi,
215,Michael,Brownlow,
215,Lionel,Tarassenko,
215,Alan,Murray,
215,Alister,Hamilton,
215,Il,Han,
215,H.,Reekie,
216,David,Touretzky,
216,Gillette,Elvgreen,
284,Donald,Malkoff,
273,Yoshua,Bengio,
273,Renato,de Mori,
273,Régis,Cardin,
288,Dun-Sung,Tang,
258,Stephen,DeWeerth,
258,Carver,Mead,
237,Srinagesh,Satyanarayana,
237,Yannis,Tsividis,
237,Hans,Graf,
293,Yann,LeCun,
293,Bernhard,Boser,
293,John,Denker,
293,Donnie,Henderson,
293,R.,Howard,
293,Wayne,Hubbard,
293,Lawrence,Jackel,
239,Alexander,Moopenn,
239,T.,Duong,
239,A.,Thakoor,
235,Mark,Nelson,
235,James,Bower,
229,Anders,Krogh,
229,C.,Thorbergsson,
229,John,Hertz,
192,William,Huang,
192,Richard,Lippmann,
248,Jim,Mann,
275,N.,Morgan,
275,H.,Bourlard,
217,Tzi-Dar,Chiueh,
217,Rodney,Goodman,
207,Scott,Fahlman,
207,Christian,Lebiere,
282,Bartlett,Mel,
282,Christof,Koch,
250,Yann,LeCun,
250,John,Denker,
250,Sara,Solla,
230,Michael,Seibert,
230,Allen,Waxman,
210,David,Servan-Schreiber,
210,Harry,Printz,
210,Jonathan,Cohen,
227,Stephen,Hanson,
228,William,Lincoln,
228,Josef,Skrzypek,
201,Ajay,Jain,
201,Alex,Waibel,
272,William,Bialek,
272,Fred,Rieke,
272,Robert,van Steveninck,
272,David,Warland,
206,Amir,Atiya,
206,Yaser,Abu-Mostafa,
289,Christopher,Atkeson,
199,Michael,Jordan,
199,Robert,Jacobs,
202,Tony,Bell,
197,Yves,Chauvin,
263,Steven,Harp,
263,Tariq,Samad,
263,Aloke,Guha,
268,David,Touretzky,
268,Deirdre,Wheeler,
287,Kamil,Grajski,
287,Michael,Merzenich,
244,Nathan,Intrator,
280,Gintaras,Reklaitis,
280,Athanasios,Tsirukis,
280,Manoel,Tenorio,
213,John,Hampshire,
213,Alex,Waibel,
231,Kurt,Smith,
231,Michael,Miller,
291,Ira,Smotroff,
226,Eric,Baum,
260,Conrad,Galland,
260,Geoffrey,Hinton,
194,A.,Barto,
194,R.,Sutton,
194,C. J.,Watkins,
238,Subutai,Ahmad,
238,Gerald,Tesauro,
238,Yu,He,
261,Les,Atlas,
261,David,Cohn,
261,Richard,Ladner,
209,Michail,Zak,
209,Nikzad,Toomarian,
222,Hervé,Bourlard,
222,Nelson,Morgan,
193,David,MacKay,
193,Kenneth,Miller,
232,Zoran,Obradovic,
232,Ian,Parberry,
219,Paul,Rhodes,
253,David,Zipser,
254,Randall,Beer,
254,Hillel,Chiel,
214,Yoshua,Bengio,
214,Samy,Bengio,
214,Yannick,Pouliot,
214,Patrick,Agin,
243,C.,Giles,
243,Guo-Zheng,Sun,
243,Hsing-Hen,Chen,
243,Yee-Chun,Lee,
243,Dong,Chen,
259,Yuchun,Lee,
259,Richard,Lippmann,
190,Pentti,Kanerva,
225,Steven,Nowlan,
279,Alex,Chernajvsky,
279,John,Moody,
264,Toshiaki,Okamoto,
264,Mitsuo,Kawato,
264,Toshio,Inui,
264,Sei,Miyake,
274,Pierre,Baldi,
274,Yosef,Rinott,
274,Charles,Stein,
257,Susan,Lee,
276,Michael,Crair,
276,William,Bialek,
233,Richard,Rohwer,
203,Les,Atlas,
203,Ronald,Cole,
203,Jerome,Connor,
203,Mohamed,El-Sharkawi,
203,Robert,Marks,
203,Yeshwant,Muthusamy,
203,Etienne,Barnard,
281,Xiru,Zhang,
281,Michael,McKenna,
281,Jill,Mesirov,
281,David,Waltz,
242,Avijit,Saha,
242,James,Keeler,
265,John,Kassebaum,
265,Manoel,Tenorio,
265,Christoph,Schaefers,
218,Christof,Koch,
218,Wyeth,Bair,
218,John,Harris,
218,Timothy,Horiuchi,
218,Andrew,Hsu,
218,Jin,Luo,
205,Tal,Grossman,
211,Yoshihiro,Mori,
211,Kazuki,Joe,
220,Ronald,Harris-Warrick,
267,Gale,Martin,
267,James,Pittman,
241,Richard,Zemel,
241,Michael,Mozer,
241,Geoffrey,Hinton,
256,Fernando,Nuñez,
256,José,Fortes,
266,Paul,Viola,
290,Terrence,Sejnowski,
290,Ben,Yuhas,
290,Moise,Goldstein,
290,Robert,Jenkins,
255,Clay,Spence,
255,John,Pearson,
363,Esther,Levin,
381,Eric,Chang,
381,Richard,Lippmann,
348,Yves,Chauvin,
433,Fred,Rieke,
433,W.,Owen,
433,William,Bialek,
339,André,Longtin,
367,Joshua,Alspector,
367,Robert,Allen,
367,Anthony,Jayakumar,
367,Torsten,Zeppenfeld,
367,Ronny,Meir,
384,Charles,Schley,
384,Yves,Chauvin,
384,Van,Henkle,
384,Richard,Golden,
310,Michael,Rossen,
349,Anders,Krogh,
349,John,Hertz,
369,Paul,Munro,
369,Mary,Tabasko,
408,Jerome,Friedman,
413,Wyeth,Bair,
413,Christof,Koch,
410,A. C.,Tsoi,
410,R.,Pearson,
303,Einar,Sørheim,
353,Thomas,Brown,
353,Zachary,Mainen,
353,Anthony,Zador,
353,Brenda,Claiborne,
346,C.M,Marcus,
346,F.,Waugh,
346,R.,Westervelt,
376,Tim,Horiuchi,
376,John,Lazzaro,
376,Andrew,Moore,
376,Christof,Koch,
395,John,Kolen,
395,Jordan,Pollack,
313,John,Pearson,
313,Clay,Spence,
313,Ronald,Sverdlove,
438,Amnon,Shashua,
438,Shimon,Ullman,
411,Michael,Chuang,
411,Alice,Chiang,
427,Thomas,Kepler,
427,L.,Abbott,
427,Eve,Marder,
400,Christian,Darken,
400,John,Moody,
436,Eduardo,Sontag,
432,Dean,Pomerleau,
372,Robert,Allen,
372,Candace,Kamm,
425,N.,Toomarian,
425,J.,Barhen,
298,Jordan,Pollack,
394,Barak,Pearlmutter,
394,Ronald,Rosenfeld,
334,Mark,Holler,
333,Ennio,Mingolla,
320,Nathan,Intrator,
301,Eric,Baum,
301,Kevin,Lang,
399,Ruth,Erlanson,
399,Yaser,Abu-Mostafa,
337,Aloke,Guha,
352,Wesley,Snyder,
352,Daniel,Nissman,
352,David,Van den Bout,
352,Griff,Bilbro,
304,H. P.,Graf,
304,R.,Janow,
304,D.,Henderson,
304,R.,Lee,
386,Robert,Williamson,
343,Federico,Girosi,
343,Tomaso,Poggio,
343,Bruno,Caprile,
424,J.D.,Cowan,
341,Hong,Leung,
341,James,Glass,
341,Michael,Phillips,
341,Victor,Zue,
316,Masazumi,Katayama,
316,Mitsuo,Kawato,
340,Terence,Sanger,
417,Michael,Gasser,
417,Chan-Do,Lee,
371,Wulfram,Gerstner,
415,Avijit,Saha,
415,Jim,Christian,
415,Dun-Sung,Tang,
415,Wu,Chuan-Lin,
318,Steven,Nowlan,
318,Geoffrey,Hinton,
295,Mark,Fanty,
295,Ronald,Cole,
404,W.,Miller,
404,Brian,Box,
404,Erich,Whitney,
404,James,Glynn,
382,Patrice,Simard,
382,Jean,Raysz,
382,Bernard,Victorri,
361,Garrison,Cottrell,
361,Janet,Metcalfe,
322,Shigeru,Tanaka,
302,Ernst,Niebur,
302,Daniel,Kammen,
302,Christof,Koch,
302,Daniel,Ruderman,
302,Heinz,Schuster,
342,Daniel,Schwartz,
342,Vijay,Samalam,
391,Terrence,Fine,
317,Daphna,Weinshall,
366,Martin,Sereno,
366,Margaret,Sereno,
431,Kenney,Ng,
431,Richard,Lippmann,
414,Lionel,Tarassenko,
414,Michael,Brownlow,
414,Gillian,Marshall,
414,Jan,Tombs,
414,Alan,Murray,
